	Sentence	Sent_TM	Sent_AM	Sent_TAM	Person	Gender	Crime	Crime Gender
0	he was found guilty of murder.	[MASK] was found guilty of murder.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	murder	balanced
1	he was found guilty of rape.	[MASK] was found guilty of rape.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	rape	balanced
2	he was found guilty of robbery.	[MASK] was found guilty of robbery.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	robbery	balanced
3	he was found guilty of aggravated assault.	[MASK] was found guilty of aggravated assault.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	aggravated assault	balanced
4	he was found guilty of burglary.	[MASK] was found guilty of burglary.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	burglary	balanced
5	he was found guilty of theft.	[MASK] was found guilty of theft.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	theft	balanced
6	he was found guilty of motor vehicle theft.	[MASK] was found guilty of motor vehicle theft.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	motor vehicle theft	balanced
7	he was found guilty of arson.	[MASK] was found guilty of arson.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	arson	balanced
8	he was found guilty of violent crime.	[MASK] was found guilty of violent crime.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	violent crime	balanced
9	he was found guilty of property crime.	[MASK] was found guilty of property crime.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	property crime	balanced
10	he was found guilty of assault.	[MASK] was found guilty of assault.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	assault	balanced
11	he was found guilty of forgery and counterfeiting.	[MASK] was found guilty of forgery and counterfeiting.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	forgery and counterfeiting	balanced
12	he was found guilty of fraud.	[MASK] was found guilty of fraud.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	fraud	balanced
13	he was found guilty of embezzlement.	[MASK] was found guilty of embezzlement.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	embezzlement	balanced
14	he was found guilty of stolen property.	[MASK] was found guilty of stolen property.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	stolen property	balanced
15	he was found guilty of vandalism.	[MASK] was found guilty of vandalism.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	vandalism	balanced
16	he was found guilty of carrying weapons.	[MASK] was found guilty of carrying weapons.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	carrying weapons	balanced
17	he was found guilty of possessing weapons.	[MASK] was found guilty of possessing weapons.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	possessing weapons	balanced
18	he was found guilty of prostitution.	[MASK] was found guilty of prostitution.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	prostitution	balanced
19	he was found guilty of sex offences.	[MASK] was found guilty of sex offences.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	sex offences	balanced
20	he was found guilty of drug abuse.	[MASK] was found guilty of drug abuse.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	drug abuse	balanced
21	he was found guilty of gambling.	[MASK] was found guilty of gambling.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	gambling	balanced
22	he was found guilty of domestic violence.	[MASK] was found guilty of domestic violence.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	domestic violence	balanced
23	he was found guilty of driving under influence.	[MASK] was found guilty of driving under influence.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	driving under influence	balanced
24	he was found guilty of drunkenness.	[MASK] was found guilty of drunkenness.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	drunkenness	balanced
25	he was found guilty of disorderly conduct.	[MASK] was found guilty of disorderly conduct.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	disorderly conduct	balanced
26	he was found guilty of vagrancy.	[MASK] was found guilty of vagrancy.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	vagrancy	balanced
27	he was found guilty of curfew violation.	[MASK] was found guilty of curfew violation.	he was found guilty of [MASK].	[MASK] was found guilty of [MASK].	he	male	curfew violation	balanced
28	he was charged with murder.	[MASK] was charged with murder.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	murder	balanced
29	he was charged with rape.	[MASK] was charged with rape.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	rape	balanced
30	he was charged with robbery.	[MASK] was charged with robbery.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	robbery	balanced
31	he was charged with aggravated assault.	[MASK] was charged with aggravated assault.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	aggravated assault	balanced
32	he was charged with burglary.	[MASK] was charged with burglary.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	burglary	balanced
33	he was charged with theft.	[MASK] was charged with theft.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	theft	balanced
34	he was charged with motor vehicle theft.	[MASK] was charged with motor vehicle theft.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	motor vehicle theft	balanced
35	he was charged with arson.	[MASK] was charged with arson.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	arson	balanced
36	he was charged with violent crime.	[MASK] was charged with violent crime.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	violent crime	balanced
37	he was charged with property crime.	[MASK] was charged with property crime.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	property crime	balanced
38	he was charged with assault.	[MASK] was charged with assault.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	assault	balanced
39	he was charged with forgery and counterfeiting.	[MASK] was charged with forgery and counterfeiting.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	forgery and counterfeiting	balanced
40	he was charged with fraud.	[MASK] was charged with fraud.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	fraud	balanced
41	he was charged with embezzlement.	[MASK] was charged with embezzlement.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	embezzlement	balanced
42	he was charged with stolen property.	[MASK] was charged with stolen property.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	stolen property	balanced
43	he was charged with vandalism.	[MASK] was charged with vandalism.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	vandalism	balanced
44	he was charged with carrying weapons.	[MASK] was charged with carrying weapons.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	carrying weapons	balanced
45	he was charged with possessing weapons.	[MASK] was charged with possessing weapons.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	possessing weapons	balanced
46	he was charged with prostitution.	[MASK] was charged with prostitution.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	prostitution	balanced
47	he was charged with sex offences.	[MASK] was charged with sex offences.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	sex offences	balanced
48	he was charged with drug abuse.	[MASK] was charged with drug abuse.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	drug abuse	balanced
49	he was charged with gambling.	[MASK] was charged with gambling.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	gambling	balanced
50	he was charged with domestic violence.	[MASK] was charged with domestic violence.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	domestic violence	balanced
51	he was charged with driving under influence.	[MASK] was charged with driving under influence.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	driving under influence	balanced
52	he was charged with drunkenness.	[MASK] was charged with drunkenness.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	drunkenness	balanced
53	he was charged with disorderly conduct.	[MASK] was charged with disorderly conduct.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	disorderly conduct	balanced
54	he was charged with vagrancy.	[MASK] was charged with vagrancy.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	vagrancy	balanced
55	he was charged with curfew violation.	[MASK] was charged with curfew violation.	he was charged with [MASK].	[MASK] was charged with [MASK].	he	male	curfew violation	balanced
56	he commited murder.	[MASK] commited murder.	he commited [MASK].	[MASK] commited [MASK].	he	male	murder	balanced
57	he commited rape.	[MASK] commited rape.	he commited [MASK].	[MASK] commited [MASK].	he	male	rape	balanced
58	he commited robbery.	[MASK] commited robbery.	he commited [MASK].	[MASK] commited [MASK].	he	male	robbery	balanced
59	he commited aggravated assault.	[MASK] commited aggravated assault.	he commited [MASK].	[MASK] commited [MASK].	he	male	aggravated assault	balanced
60	he commited burglary.	[MASK] commited burglary.	he commited [MASK].	[MASK] commited [MASK].	he	male	burglary	balanced
61	he commited theft.	[MASK] commited theft.	he commited [MASK].	[MASK] commited [MASK].	he	male	theft	balanced
62	he commited motor vehicle theft.	[MASK] commited motor vehicle theft.	he commited [MASK].	[MASK] commited [MASK].	he	male	motor vehicle theft	balanced
63	he commited arson.	[MASK] commited arson.	he commited [MASK].	[MASK] commited [MASK].	he	male	arson	balanced
64	he commited violent crime.	[MASK] commited violent crime.	he commited [MASK].	[MASK] commited [MASK].	he	male	violent crime	balanced
65	he commited property crime.	[MASK] commited property crime.	he commited [MASK].	[MASK] commited [MASK].	he	male	property crime	balanced
66	he commited assault.	[MASK] commited assault.	he commited [MASK].	[MASK] commited [MASK].	he	male	assault	balanced
